rank,man,sales,woman,sales2
1,James,4815847,Mary,3455228
2,John,4636242,Patricia,1565291
3,Robert,4600785,Jennifer,1464890
4,Michael,4307070,Elizabeth,1449478
5,William,3689740,Linda,1447946
6,David,3553094,Barbara,1413261
7,Richard,2496587,Susan,1106614
8,Joseph,2398378,Jessica,1042177
9,Thomas,2179445,Margaret,1016433
10,Charles,2161838,Sarah,997223
11,Christopher,2010788,Karen,984334
12,Daniel,1866234,Nancy,976066
13,Matthew,1571799,Betty,964130
14,Anthony,1394023,Lisa,964099
15,Donald,1375006,Dorothy,938467
16,Mark,1342682,Sandra,872927
17,Paul,1316094,Ashley,840595
18,Steven,1276216,Kimberly,833129
19,Andrew,1241121,Donna,825431
20,Kenneth,1241110,Carol,810032
21,George,1225477,Michelle,807515
22,Joshua,1192510,Emily,806210
23,Kevin,1162743,Amanda,771396
24,Brian,1161909,Helen,754741
25,Edward,1146548,Melissa,750021
26,Ronald,1073427,Deborah,739055
27,Timothy,1063014,Stephanie,736098
28,Jason,1023728,Laura,729905
29,Jeffrey,972144,Rebecca,729158
30,Ryan,916701,Sharon,720788
31,Gary,898893,Cynthia,705176
32,Jacob,892543,Kathleen,696019
33,Nicholas,881085,Amy,677725
34,Eric,870654,Shirley,675723
35,Stephen,841664,Anna,661870
36,Jonathan,826440,Angela,656616
37,Larry,802374,Ruth,633144
38,Justin,769098,Brenda,605962
39,Scott,768539,Pamela,592689
40,Frank,753168,Nicole,583727
41,Brandon,749649,Katherine,581835
42,Raymond,709374,Virginia,576419
43,Gregory,705003,Catherine,571890
44,Benjamin,696992,Christine,568352
45,Samuel,693954,Samantha,564316
46,Patrick,659877,Debra,548265
47,Alexander,635536,Janet,546524
48,Jack,634008,Rachel,545838
49,Dennis,611555,Carolyn,545185
50,Jerry,604063,Emma,529564
51,Tyler,579411,Maria,525054
52,Aaron,562595,Heather,524166
53,Henry,554003,Diane,515501
54,Douglas,551890,Julie,505291
55,Jose,549130,Joyce,503216
56,Peter,545690,Evelyn,474000
57,Adam,539247,Frances,472830
58,Zachary,527344,Joan,472764
59,Nathan,526730,Christina,469943
60,Walter,511381,Kelly,469887
61,Harold,483142,Victoria,465386
62,Kyle,475524,Lauren,464370
63,Carl,450868,Martha,458322
64,Arthur,439275,Judith,449801
65,Gerald,435320,Cheryl,436876
66,Roger,432480,Megan,435470
67,Keith,431847,Andrea,428133
68,Jeremy,431740,Ann,427855
69,Terry,421381,Alice,427303
70,Lawrence,421149,Jean,426208
71,Sean,414781,Doris,421334
72,Christian,405908,Jacqueline,418546
73,Albert,403891,Kathryn,415843
74,Joe,403754,Hannah,410830
75,Ethan,399554,Olivia,410090
76,Austin,398792,Gloria,408902
77,Jesse,389149,Marie,408571
78,Willie,386441,Teresa,405545
79,Billy,380687,Sara,402845
80,Bryan,376863,Janice,401746
81,Bruce,376688,Julia,389550
82,Jordan,363879,Grace,381487
83,Ralph,361695,Judy,378452
84,Roy,354239,Theresa,377210
85,Noah,353487,Rose,372754
86,Dylan,351480,Beverly,372619
87,Eugene,345853,Denise,371020
88,Wayne,343786,Marilyn,369081
89,Alan,342690,Amber,367827
90,Juan,338106,Madison,365619
91,Louis,336476,Danielle,365276
92,Russell,329810,Brittany,357532
93,Gabriel,327097,Diana,354757
94,Randy,326681,Abigail,344032
95,Philip,321089,Jane,343668
96,Harry,320488,Natalie,338545
97,Vincent,319985,Lori,337999
98,Bobby,312677,Tiffany,335329
99,Johnny,307236,Alexis,334364
100,Logan,304578,Kayla,333475